Instance,Algorithme,Seed,Score,NbPertubations,MaxEval,CPU-Used-Time (ms)
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,50,1971,6,1000000,153.729000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,50,1971,9,1000000,153.769000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,51,1978,6,1000000,166.717000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,51,1964,9,1000000,159.808000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,52,1988,6,1000000,154.455000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,52,1988,9,1000000,153.042000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,53,1856,6,1000000,154.977000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,53,1936,9,1000000,154.432000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,54,1981,6,1000000,154.657000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,54,1981,9,1000000,165.056000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,55,2000,6,1000000,155.358000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,55,1993,9,1000000,155.493000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,56,1968,6,1000000,155.091000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,56,2003,9,1000000,154.862000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,57,1920,6,1000000,153.788000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,57,1862,9,1000000,156.522000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,58,2098,6,1000000,156.376000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,58,2023,9,1000000,152.965000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,59,1888,6,1000000,165.683000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,59,1928,9,1000000,155.882000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,50,1723,6,1000000,134.818000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,50,1692,9,1000000,139.286000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,51,1704,6,1000000,135.823000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,51,1686,9,1000000,137.534000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,52,1693,6,1000000,138.469000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,52,1683,9,1000000,137.912000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,53,1702,6,1000000,142.509000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,53,1734,9,1000000,135.012000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,54,1721,6,1000000,135.094000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,54,1744,9,1000000,138.865000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,55,1719,6,1000000,138.734000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,55,1708,9,1000000,136.257000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,56,1704,6,1000000,137.498000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,56,1673,9,1000000,137.033000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,57,1690,6,1000000,151.454000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,57,1690,9,1000000,138.787000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,58,1655,6,1000000,136.195000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,58,1685,9,1000000,135.891000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,59,1666,6,1000000,138.358000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,59,1714,9,1000000,136.519000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,50,1900,6,1000000,158.824000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,50,1905,9,1000000,168.462000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,51,1818,6,1000000,160.673000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,51,1907,9,1000000,161.418000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,52,1878,6,1000000,158.800000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,52,1911,9,1000000,162.978000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,53,1894,6,1000000,162.748000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,53,1867,9,1000000,161.647000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,54,2006,6,1000000,172.702000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,54,1924,9,1000000,161.335000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,55,1940,6,1000000,163.312000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,55,1940,9,1000000,159.731000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,56,1889,6,1000000,160.784000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,56,1889,9,1000000,160.696000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,57,1829,6,1000000,162.032000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,57,1885,9,1000000,189.443000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,58,1886,6,1000000,163.849000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,58,1851,9,1000000,165.369000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,59,1944,6,1000000,165.465000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,59,1960,9,1000000,178.611000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,50,1681,6,1000000,144.300000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,50,1733,9,1000000,144.355000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,51,1728,6,1000000,143.802000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,51,1704,9,1000000,146.264000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,52,1691,6,1000000,151.436000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,52,1727,9,1000000,142.368000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,53,1737,6,1000000,142.178000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,53,1704,9,1000000,143.209000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,54,1734,6,1000000,142.890000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,54,1734,9,1000000,156.571000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,55,1710,6,1000000,145.326000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,55,1710,9,1000000,143.369000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,56,1757,6,1000000,144.159000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,56,1757,9,1000000,144.972000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,57,1697,6,1000000,159.011000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,57,1716,9,1000000,144.626000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,58,1686,6,1000000,140.045000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,58,1728,9,1000000,146.639000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,59,1716,6,1000000,142.389000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,59,1708,9,1000000,154.682000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,50,1014,6,1000000,160.359000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,50,1066,9,1000000,160.080000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,51,996,6,1000000,158.802000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,51,822,9,1000000,158.764000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,52,1140,6,1000000,169.703000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,52,1140,9,1000000,162.268000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,53,1398,6,1000000,161.048000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,53,966,9,1000000,162.498000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,54,1110,6,1000000,169.405000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,54,986,9,1000000,169.753000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,55,1106,6,1000000,160.930000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,55,1106,9,1000000,158.922000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,56,1139,6,1000000,157.826000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,56,918,9,1000000,158.338000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,57,918,6,1000000,165.467000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,57,1117,9,1000000,156.878000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,58,1115,6,1000000,158.612000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,58,1019,9,1000000,159.347000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,59,1171,6,1000000,157.553000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,59,1000,9,1000000,162.794000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,50,599,6,1000000,136.103000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,50,544,9,1000000,138.779000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,51,545,6,1000000,136.944000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,51,493,9,1000000,137.650000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,52,583,6,1000000,145.848000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,52,519,9,1000000,136.484000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,53,449,6,1000000,135.596000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,53,465,9,1000000,137.162000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,54,670,6,1000000,136.257000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,54,535,9,1000000,149.453000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,55,620,6,1000000,138.928000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,55,599,9,1000000,135.520000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,56,557,6,1000000,135.112000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,56,545,9,1000000,139.592000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,57,669,6,1000000,143.693000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,57,483,9,1000000,137.855000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,58,550,6,1000000,139.108000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,58,579,9,1000000,136.453000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,59,508,6,1000000,136.863000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_swap,59,518,9,1000000,150.530000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,50,808,6,1000000,163.768000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,50,944,9,1000000,158.602000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,51,613,6,1000000,164.437000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,51,882,9,1000000,160.511000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,52,818,6,1000000,173.573000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,52,857,9,1000000,160.561000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,53,961,6,1000000,172.912000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,53,961,9,1000000,173.073000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,54,817,6,1000000,173.382000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,54,817,9,1000000,171.944000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,55,816,6,1000000,213.991000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,55,871,9,1000000,241.801000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,56,842,6,1000000,253.870000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,56,855,9,1000000,230.282000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,57,761,6,1000000,213.298000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,57,902,9,1000000,197.932000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,58,840,6,1000000,195.058000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,58,874,9,1000000,187.444000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,59,932,6,1000000,188.895000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_2opt,59,978,9,1000000,189.927000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,50,454,6,1000000,163.222000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,50,630,9,1000000,161.271000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,51,529,6,1000000,162.632000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,51,526,9,1000000,165.545000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,52,573,6,1000000,166.977000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,52,573,9,1000000,183.474000
instances/atsp_rand_50_100.txt,iterated_local_search_first_improver_swap,53,514,6,1000000,196.136000
