Instance,Algorithme,Seed,Score,Lambda,MaxEval,CPU-Used-Time (ms)
instances/atsp_rand_50_75.txt,sampled_walk_swap,50,2425,5,100000,250.399000
instances/atsp_rand_50_75.txt,sampled_walk_swap,50,2393,9,100000,133.414000
instances/atsp_rand_50_75.txt,sampled_walk_swap,51,2694,5,100000,250.859000
instances/atsp_rand_50_75.txt,sampled_walk_swap,51,2594,9,100000,134.262000
instances/atsp_rand_50_75.txt,sampled_walk_swap,52,2606,5,100000,251.018000
instances/atsp_rand_50_75.txt,sampled_walk_swap,52,2540,9,100000,133.908000
instances/atsp_rand_50_75.txt,sampled_walk_swap,53,2622,5,100000,248.415000
instances/atsp_rand_50_75.txt,sampled_walk_swap,53,2592,9,100000,133.227000
instances/atsp_rand_50_75.txt,sampled_walk_swap,54,2555,5,100000,255.641000
instances/atsp_rand_50_75.txt,sampled_walk_swap,54,2595,9,100000,134.990000
instances/atsp_rand_50_75.txt,sampled_walk_swap,55,2652,5,100000,249.015000
instances/atsp_rand_50_75.txt,sampled_walk_swap,55,2669,9,100000,133.166000
instances/atsp_rand_50_75.txt,sampled_walk_swap,56,2754,5,100000,249.584000
instances/atsp_rand_50_75.txt,sampled_walk_swap,56,2718,9,100000,133.435000
instances/atsp_rand_50_75.txt,sampled_walk_swap,57,2589,5,100000,248.491000
instances/atsp_rand_50_75.txt,sampled_walk_swap,57,2525,9,100000,134.015000
instances/atsp_rand_50_75.txt,sampled_walk_swap,58,2587,5,100000,249.779000
instances/atsp_rand_50_75.txt,sampled_walk_swap,58,2424,9,100000,135.680000
instances/atsp_rand_50_75.txt,sampled_walk_swap,59,2557,5,100000,248.749000
instances/atsp_rand_50_75.txt,sampled_walk_swap,59,2396,9,100000,140.902000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,50,2455,5,100000,249.963000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,50,2455,9,100000,135.741000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,51,2587,5,100000,249.477000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,51,2532,9,100000,134.481000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,52,2552,5,100000,251.493000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,52,2559,9,100000,135.297000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,53,2500,5,100000,247.509000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,53,2500,9,100000,134.478000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,54,2563,5,100000,257.883000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,54,2430,9,100000,135.680000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,55,2581,5,100000,249.029000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,55,2581,9,100000,135.591000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,56,2568,5,100000,248.157000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,56,2568,9,100000,135.022000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,57,2510,5,100000,249.433000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,57,2553,9,100000,133.837000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,58,2477,5,100000,248.768000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,58,2469,9,100000,145.651000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,59,2422,5,100000,249.264000
instances/atsp_rand_50_75.txt,sampled_walk_2opt,59,2422,9,100000,133.065000
instances/atsp_rand_50_100.txt,sampled_walk_swap,50,2175,5,100000,246.220000
instances/atsp_rand_50_100.txt,sampled_walk_swap,50,2253,9,100000,133.838000
instances/atsp_rand_50_100.txt,sampled_walk_swap,51,2516,5,100000,246.736000
instances/atsp_rand_50_100.txt,sampled_walk_swap,51,2362,9,100000,133.070000
instances/atsp_rand_50_100.txt,sampled_walk_swap,52,2440,5,100000,247.633000
instances/atsp_rand_50_100.txt,sampled_walk_swap,52,2087,9,100000,132.802000
instances/atsp_rand_50_100.txt,sampled_walk_swap,53,2534,5,100000,258.920000
instances/atsp_rand_50_100.txt,sampled_walk_swap,53,2443,9,100000,133.153000
instances/atsp_rand_50_100.txt,sampled_walk_swap,54,2737,5,100000,249.693000
instances/atsp_rand_50_100.txt,sampled_walk_swap,54,2655,9,100000,133.394000
instances/atsp_rand_50_100.txt,sampled_walk_swap,55,2337,5,100000,249.611000
instances/atsp_rand_50_100.txt,sampled_walk_swap,55,2392,9,100000,133.649000
instances/atsp_rand_50_100.txt,sampled_walk_swap,56,2741,5,100000,249.651000
instances/atsp_rand_50_100.txt,sampled_walk_swap,56,2519,9,100000,134.514000
instances/atsp_rand_50_100.txt,sampled_walk_swap,57,2342,5,100000,248.480000
instances/atsp_rand_50_100.txt,sampled_walk_swap,57,2231,9,100000,144.128000
instances/atsp_rand_50_100.txt,sampled_walk_swap,58,2182,5,100000,248.550000
instances/atsp_rand_50_100.txt,sampled_walk_swap,58,2125,9,100000,132.876000
instances/atsp_rand_50_100.txt,sampled_walk_swap,59,2327,5,100000,249.032000
instances/atsp_rand_50_100.txt,sampled_walk_swap,59,2081,9,100000,134.021000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,50,2259,5,100000,251.305000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,50,2486,9,100000,134.552000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,51,2270,5,100000,250.702000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,51,2394,9,100000,135.696000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,52,2373,5,100000,262.022000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,52,2314,9,100000,134.738000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,53,2364,5,100000,249.856000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,53,2224,9,100000,136.385000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,54,2324,5,100000,248.855000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,54,2376,9,100000,134.617000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,55,2665,5,100000,249.628000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,55,2462,9,100000,134.993000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,56,2549,5,100000,250.343000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,56,2589,9,100000,148.194000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,57,2405,5,100000,251.957000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,57,2186,9,100000,134.610000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,58,2005,5,100000,252.092000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,58,2332,9,100000,136.172000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,59,2114,5,100000,250.533000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,59,2030,9,100000,136.384000
instances/atsp_rand_60_50.txt,sampled_walk_swap,50,1524,5,100000,349.337000
instances/atsp_rand_60_50.txt,sampled_walk_swap,50,1543,9,100000,187.042000
